Measure Servo X
15,-6.99
14,-7.03
13,-6.81
12,-6.30
11,-5.81
10,-5.47
9,-4.68
8,-4.12
7,-3.68
6,-3.24
5,-2.62
4,-2.31
3,-1.87
2,-1.46
1,-0.92
0,-0.64
-1,0.31
-2,0.52
-3,1.10
-4,1.47
-5,2.17
-6,2.66
-7,3.20
-8,3.72
-9,4.22
-10,4.94
-11,5.59
-12,6.10
-13,6.79
-14,7.78
-15,8.39
-15,8.39
-14,8.33
-13,7.75
-12,7.01
-11,6.49
-10,6.02
-9,5.37
-8,4.93
-7,4.40
-6,3.85
-5,3.22
-4,2.73
-3,2.20
-2,1.72
-1,1.41
0,0.66
1,0.39
2,-0.30
3,-0.63
4,-0.92
5,-1.38
6,-1.81
7,-2.19
8,-2.73
9,-3.30
10,-3.50
11,-4.04
12,-4.37
13,-4.69
14,-5.21
15,-5.35
