Measure Servo Y
15,6.39
14,6.28
13,5.71
12,5.66
11,5.58
10,5.24
9,4.91
8,4.60
7,3.99
6,3.31
5,2.82
4,2.49
3,2.22
2,1.41
1,1.11
0,0.83
-1,0.15
-2,-0.19
-3,-0.42
-4,-0.87
-5,-1.31
-6,-1.58
-7,-1.94
-8,-2.45
-9,-2.84
-10,-3.12
-11,-3.55
-12,-3.82
-13,-4.23
-14,-4.61
-15,-4.97
-14,-4.79
-13,-4.84
-12,-4.71
-11,-4.21
-10,-4.02
-9,-3.85
-8,-3.73
-7,-3.46
-6,-2.98
-5,-2.86
-4,-2.60
-3,-2.49
-2,-2.21
-1,-1.89
0,-1.76
1,-1.28
2,-0.95
3,-0.73
4,-0.46
5,0.20
6,0.46
7,1.00
8,1.16
9,1.62
10,2.25
11,2.72
12,2.96
13,4.25
14,4.77
15,4.95
